fecha,local,visitante,goles_local,goles_visitante,jornada
2026-03-01,Atletico FC,Deportivo Sur,3,1,1
2026-03-01,Racing Norte,Union Central,0,2,1
2026-03-01,Estudiantes,Olimpia,1,1,1
2026-03-08,Deportivo Sur,Estudiantes,2,0,2
2026-03-08,Union Central,Atletico FC,1,3,2
2026-03-08,Olimpia,Racing Norte,2,2,2
2026-03-15,Atletico FC,Olimpia,2,0,3
2026-03-15,Racing Norte,Deportivo Sur,1,0,3
2026-03-15,Estudiantes,Union Central,3,2,3
2026-03-22,Deportivo Sur,Atletico FC,1,1,4
2026-03-22,Union Central,Racing Norte,0,1,4
2026-03-22,Olimpia,Estudiantes,3,1,4
2026-03-29,Atletico FC,Racing Norte,2,1,5
2026-03-29,Estudiantes,Deportivo Sur,1,2,5
2026-03-29,Olimpia,Union Central,0,0,5
